?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CLO_0004618>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF012/82 cell"	
<http://purl.obolibrary.org/obo/CLO_0001833>	<http://www.w3.org/2000/01/rdf-schema#label>	"B84 cell"	
<http://purl.obolibrary.org/obo/CLO_0001657>	<http://www.w3.org/2000/01/rdf-schema#label>	"ACT I cell"	
<http://purl.obolibrary.org/obo/CLO_0003009>	<http://www.w3.org/2000/01/rdf-schema#label>	"FB5.Ln cell"	
<http://purl.obolibrary.org/obo/CLO_0009771>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal rat glial cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000157>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal glial cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0001708>	<http://www.w3.org/2000/01/rdf-schema#label>	"Am Ric cell"	
<http://purl.obolibrary.org/obo/CLO_0009595>	<http://www.w3.org/2000/01/rdf-schema#label>	"WI-38 (HSV-2)Tr cell"	
<http://purl.obolibrary.org/obo/CLO_0050954>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1507 cell"	
<http://purl.obolibrary.org/obo/CLO_0008162>	<http://www.w3.org/2000/01/rdf-schema#label>	"NG108-15 cell"	
<http://purl.obolibrary.org/obo/CLO_0000719>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal Mus musculus x Rattus norvegicus round window-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050778>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1848 cell"	
<http://purl.obolibrary.org/obo/CLO_0000822>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal Bolivian squirrel monkey skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0037528>	<http://www.w3.org/2000/01/rdf-schema#label>	"CS28iALS-C9n2 cell"	
<http://purl.obolibrary.org/obo/CLO_0009646>	<http://www.w3.org/2000/01/rdf-schema#label>	"XC1.5/51 cell"	
<http://purl.obolibrary.org/obo/CLO_0006861>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-763 cell"	
<http://purl.obolibrary.org/obo/CLO_0006685>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGV009/99 cell"	
<http://purl.obolibrary.org/obo/CLO_0008213>	<http://www.w3.org/2000/01/rdf-schema#label>	"NULLI-SCC1 cell"	
<http://purl.obolibrary.org/obo/CLO_0050829>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2806 cell"	
<http://purl.obolibrary.org/obo/CLO_0008037>	<http://www.w3.org/2000/01/rdf-schema#label>	"NCI-H1994 cell"	
<http://purl.obolibrary.org/obo/CLO_0005252>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF041/95 cell"	
<http://purl.obolibrary.org/obo/CLO_0006912>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-938 cell"	
<http://purl.obolibrary.org/obo/CLO_0005076>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF033/94 cell"	
<http://purl.obolibrary.org/obo/CLO_0002291>	<http://www.w3.org/2000/01/rdf-schema#label>	"CCD-1126Sk cell"	
<http://purl.obolibrary.org/obo/CLO_0006736>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-1080 XP7MO cell"	
<http://purl.obolibrary.org/obo/CLO_0003951>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 405.Sk cell"	
<http://purl.obolibrary.org/obo/CLO_0003775>	<http://www.w3.org/2000/01/rdf-schema#label>	"HL-60 cell"	
<http://purl.obolibrary.org/obo/CLO_0000990>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal gold fish cell line cell"@en	
<http://purl.obolibrary.org/obo/CLO_0005303>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF044/78 cell"	
<http://purl.obolibrary.org/obo/CLO_0003599>	<http://www.w3.org/2000/01/rdf-schema#label>	"H4 cell"	
<http://purl.obolibrary.org/obo/CLO_0005127>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF036/01 cell"	
<http://purl.obolibrary.org/obo/CLO_0002342>	<http://www.w3.org/2000/01/rdf-schema#label>	"CDC 1C42H11 cell"	
<http://purl.obolibrary.org/obo/CLO_0002166>	<http://www.w3.org/2000/01/rdf-schema#label>	"CA295 cell"	
<http://purl.obolibrary.org/obo/CLO_0003826>	<http://www.w3.org/2000/01/rdf-schema#label>	"HR/+ F.Sp cell"	
<http://purl.obolibrary.org/obo/CLO_0000331>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal iliac vein-derived smooth muscle cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000865>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal Hanuman langur skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002217>	<http://www.w3.org/2000/01/rdf-schema#label>	"CC17 cell"	
<http://purl.obolibrary.org/obo/CLO_0051463>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1623 cell"	
<http://purl.obolibrary.org/obo/CLO_0051287>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0201 cell"	
<http://purl.obolibrary.org/obo/CLO_0000916>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse muscle spindle-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000215>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal muscle spindle-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050030>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0468 cell"	
<http://purl.obolibrary.org/obo/CLO_0000033>	<http://www.w3.org/2000/01/rdf-schema#label>	"mixed suspension"	
<http://purl.obolibrary.org/obo/CLO_0007370>	<http://www.w3.org/2000/01/rdf-schema#label>	"LNZTA3WT11 cell"	
<http://purl.obolibrary.org/obo/CLO_0051514>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1867 cell"	
<http://purl.obolibrary.org/obo/CLO_0007194>	<http://www.w3.org/2000/01/rdf-schema#label>	"L5178-S (LY-S) cell"	
<http://purl.obolibrary.org/obo/CLO_0051338>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0198 cell"	
<http://purl.obolibrary.org/obo/CLO_0008854>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rn2T cell"	
<http://purl.obolibrary.org/obo/CLO_0008678>	<http://www.w3.org/2000/01/rdf-schema#label>	"QCRL-1 cell"	
<http://purl.obolibrary.org/obo/CLO_0005893>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF078/87 cell"	
<http://purl.obolibrary.org/obo/CLO_0007421>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lung-third cell"	
<http://purl.obolibrary.org/obo/CLO_0007245>	<http://www.w3.org/2000/01/rdf-schema#label>	"LAQ 8251 cell"	
<http://purl.obolibrary.org/obo/CLO_0004460>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF004/89 cell"	
<http://purl.obolibrary.org/obo/CLO_0008905>	<http://www.w3.org/2000/01/rdf-schema#label>	"RWPE-1 cell"	
<http://purl.obolibrary.org/obo/CLO_0007069>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kasumi-1 cell"	
<http://purl.obolibrary.org/obo/CLO_0004284>	<http://www.w3.org/2000/01/rdf-schema#label>	"HT29 gluc C1 cell"	
<http://purl.obolibrary.org/obo/CLO_0008729>	<http://www.w3.org/2000/01/rdf-schema#label>	"RA3-2C2/1 cell"	
<http://purl.obolibrary.org/obo/CLO_0005944>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF082/85 cell"	
<http://purl.obolibrary.org/obo/CLO_0005768>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF070/82 cell"	
<http://purl.obolibrary.org/obo/CLO_0002983>	<http://www.w3.org/2000/01/rdf-schema#label>	"F5 cell"	
<http://purl.obolibrary.org/obo/CLO_0004511>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF007/01 cell"	
<http://purl.obolibrary.org/obo/CLO_0004335>	<http://www.w3.org/2000/01/rdf-schema#label>	"IC86 cell"	
<http://purl.obolibrary.org/obo/CLO_0001550>	<http://www.w3.org/2000/01/rdf-schema#label>	"A-10 cell"	
<http://purl.obolibrary.org/obo/CLO_0000115>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal induced T-regulatory cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0004159>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 855.Sk cell"	
<http://purl.obolibrary.org/obo/CLO_0001374>	<http://www.w3.org/2000/01/rdf-schema#label>	"454C11 cell"	
<http://purl.obolibrary.org/obo/CLO_0005819>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF073/86 cell"	
<http://purl.obolibrary.org/obo/CLO_0001198>	<http://www.w3.org/2000/01/rdf-schema#label>	"226H cell"	
<http://purl.obolibrary.org/obo/CLO_0002858>	<http://www.w3.org/2000/01/rdf-schema#label>	"E13 161-7 cell"	
<http://purl.obolibrary.org/obo/CLO_0037370>	<http://www.w3.org/2000/01/rdf-schema#label>	"GeneBLAzer PPAR gamma UAS-bla HEK293H"	
<http://purl.obolibrary.org/obo/CLO_0037374>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEK293H-derived cell"@en	
<http://purl.obolibrary.org/obo/CLO_0001601>	<http://www.w3.org/2000/01/rdf-schema#label>	"A549 cell"	
<http://purl.obolibrary.org/obo/CLO_0037194>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human breast epithelial cell line cell"@en	
<http://purl.obolibrary.org/obo/CLO_0001425>	<http://www.w3.org/2000/01/rdf-schema#label>	"58D3C9 cell"	
<http://purl.obolibrary.org/obo/CLO_0050671>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0617 cell"	
<http://purl.obolibrary.org/obo/CLO_0001249>	<http://www.w3.org/2000/01/rdf-schema#label>	"2C4 cell"	
<http://purl.obolibrary.org/obo/CLO_0000674>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal moth female gonad-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002909>	<http://www.w3.org/2000/01/rdf-schema#label>	"EKL cell"	
<http://purl.obolibrary.org/obo/CLO_0000644>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal horse cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050495>	<http://www.w3.org/2000/01/rdf-schema#label>	"GMC0013 cell"	
<http://purl.obolibrary.org/obo/CLO_0037302>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary cultured human fibroblast cell"@en	
<http://purl.obolibrary.org/obo/CLO_0000498>	<http://www.w3.org/2000/01/rdf-schema#label>	"mouse x rat hybridoma cell line cell"@en	
<http://purl.obolibrary.org/obo/CLO_0037245>	<http://www.w3.org/2000/01/rdf-schema#label>	"mouse stem cell line cell"@en	
<http://purl.obolibrary.org/obo/CLO_0009363>	<http://www.w3.org/2000/01/rdf-schema#label>	"TM 903 cell"	
<http://purl.obolibrary.org/obo/CLO_0050722>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2068 cell"	
<http://purl.obolibrary.org/obo/CLO_0037069>	<http://www.w3.org/2000/01/rdf-schema#label>	"SCCH-196 cell"	
<http://purl.obolibrary.org/obo/CLO_0009187>	<http://www.w3.org/2000/01/rdf-schema#label>	"SW 1417 cell"	
<http://purl.obolibrary.org/obo/CLO_0000725>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal cattle endothelium-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000250>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal endothelium-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050546>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0247 cell"	
<http://purl.obolibrary.org/obo/CLO_0000549>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human stomach-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000249>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal stomach-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0007886>	<http://www.w3.org/2000/01/rdf-schema#label>	"mSXL 5 cell"	
<http://purl.obolibrary.org/obo/CLO_0009414>	<http://www.w3.org/2000/01/rdf-schema#label>	"tsc2 ang1 cell"	
<http://purl.obolibrary.org/obo/CLO_0009238>	<http://www.w3.org/2000/01/rdf-schema#label>	"T1 (174 x CEM.T1) cell"	
<http://purl.obolibrary.org/obo/CLO_0006453>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF176/83 cell"	
<http://purl.obolibrary.org/obo/CLO_0000689>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal pig thoracic aorta-derived endothelial cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0006277>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF114/83 cell"	
<http://purl.obolibrary.org/obo/CLO_0003492>	<http://www.w3.org/2000/01/rdf-schema#label>	"GI-CA-N cell"	
<http://purl.obolibrary.org/obo/CLO_0005020>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF031/80 cell"	
<http://purl.obolibrary.org/obo/CLO_0007937>	<http://www.w3.org/2000/01/rdf-schema#label>	"NALM-1 cell"	
<http://purl.obolibrary.org/obo/CLO_0004976>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF028/97 cell"	
<http://purl.obolibrary.org/obo/CLO_0006504>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGL003/93 cell"	
<http://purl.obolibrary.org/obo/CLO_0009792>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal white-handed gibbon skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0006328>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF122/91 cell"	
<http://purl.obolibrary.org/obo/CLO_0003543>	<http://www.w3.org/2000/01/rdf-schema#label>	"G-M95f cell"	
<http://purl.obolibrary.org/obo/CLO_0003367>	<http://www.w3.org/2000/01/rdf-schema#label>	"Flow 6000 cell"	
<http://purl.obolibrary.org/obo/CLO_0002110>	<http://www.w3.org/2000/01/rdf-schema#label>	"C2-Rev 7 cell"	
<http://purl.obolibrary.org/obo/CLO_0051180>	<http://www.w3.org/2000/01/rdf-schema#label>	"HSC0091 cell"	
<http://purl.obolibrary.org/obo/CLO_0003418>	<http://www.w3.org/2000/01/rdf-schema#label>	"G0086 cell"	
<http://purl.obolibrary.org/obo/CLO_0051231>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0045 cell"	
<http://purl.obolibrary.org/obo/CLO_0051055>	<http://www.w3.org/2000/01/rdf-schema#label>	"HSC0014 cell"	
<http://purl.obolibrary.org/obo/CLO_0008571>	<http://www.w3.org/2000/01/rdf-schema#label>	"PVBC-OI129 cell"	
<http://purl.obolibrary.org/obo/CLO_0008395>	<http://www.w3.org/2000/01/rdf-schema#label>	"PC-3 cell"	
<http://purl.obolibrary.org/obo/CLO_0009879>	<http://www.w3.org/2000/01/rdf-schema#label>	"TC-71 cell"	
<http://purl.obolibrary.org/obo/CLO_0051106>	<http://www.w3.org/2000/01/rdf-schema#label>	"HSC0079 cell"	
<http://purl.obolibrary.org/obo/CLO_0008622>	<http://www.w3.org/2000/01/rdf-schema#label>	"PVBC-OI356 cell"	
<http://purl.obolibrary.org/obo/CLO_0008446>	<http://www.w3.org/2000/01/rdf-schema#label>	"PI86 cell"	
<http://purl.obolibrary.org/obo/CLO_0005661>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF063/85 cell"	
<http://purl.obolibrary.org/obo/CLO_0005485>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF052/95 cell"	
<http://purl.obolibrary.org/obo/CLO_0007013>	<http://www.w3.org/2000/01/rdf-schema#label>	"Jay Sen cell"	
<http://purl.obolibrary.org/obo/CLO_0004052>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 695.Sk cell"	
<http://purl.obolibrary.org/obo/CLO_0006969>	<http://www.w3.org/2000/01/rdf-schema#label>	"IST-MEL1 cell"	
<http://purl.obolibrary.org/obo/CLO_0005712>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF066/89 cell"	
<http://purl.obolibrary.org/obo/CLO_0001091>	<http://www.w3.org/2000/01/rdf-schema#label>	"145-2C11 cell"	
<http://purl.obolibrary.org/obo/CLO_0005536>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF055/99 cell"	
<http://purl.obolibrary.org/obo/CLO_0002751>	<http://www.w3.org/2000/01/rdf-schema#label>	"Detroit 551 cell"	
<http://purl.obolibrary.org/obo/CLO_0002575>	<http://www.w3.org/2000/01/rdf-schema#label>	"COLO-704 cell"	
<http://purl.obolibrary.org/obo/CLO_0000606>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human female gonad-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0004103>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 769.T cell"	
<http://purl.obolibrary.org/obo/CLO_0002399>	<http://www.w3.org/2000/01/rdf-schema#label>	"CG7C7 cell"	
<http://purl.obolibrary.org/obo/CLO_0001142>	<http://www.w3.org/2000/01/rdf-schema#label>	"1939-8G2 cell"	
<http://purl.obolibrary.org/obo/CLO_0002802>	<http://www.w3.org/2000/01/rdf-schema#label>	"DMS-79 cell"	
<http://purl.obolibrary.org/obo/CLO_0000391>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal nose structure-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002626>	<http://www.w3.org/2000/01/rdf-schema#label>	"CSE 119 cell"	
<http://purl.obolibrary.org/obo/CLO_0000929>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal Salmonidae embryo-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0009080>	<http://www.w3.org/2000/01/rdf-schema#label>	"SM96P cell"	
<http://purl.obolibrary.org/obo/CLO_0001017>	<http://www.w3.org/2000/01/rdf-schema#label>	"94022802 cell"	
<http://purl.obolibrary.org/obo/CLO_0000442>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human neck-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000199>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal neck-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050263>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0480 cell"	
<http://purl.obolibrary.org/obo/CLO_0000266>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal uterine cervix-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050087>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0808 cell"	
<http://purl.obolibrary.org/obo/CLO_0037013>	<http://www.w3.org/2000/01/rdf-schema#label>	"HCC515 cell"	
<http://purl.obolibrary.org/obo/CLO_0009131>	<http://www.w3.org/2000/01/rdf-schema#label>	"S-R96 cell"	
<http://purl.obolibrary.org/obo/CLO_0006170>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF101/89 cell"	
<http://purl.obolibrary.org/obo/CLO_0050314>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1250 cell"	
<http://purl.obolibrary.org/obo/CLO_0007830>	<http://www.w3.org/2000/01/rdf-schema#label>	"MOPC 315 cell"	
<http://purl.obolibrary.org/obo/CLO_0000317>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal ligament-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050138>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2347 cell"	
<http://purl.obolibrary.org/obo/CLO_0007654>	<http://www.w3.org/2000/01/rdf-schema#label>	"ME 1 cell"	
<http://purl.obolibrary.org/obo/CLO_0007478>	<http://www.w3.org/2000/01/rdf-schema#label>	"M3WT4 cell"	
<http://purl.obolibrary.org/obo/CLO_0004693>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF016/00 cell"	
<http://purl.obolibrary.org/obo/CLO_0009006>	<http://www.w3.org/2000/01/rdf-schema#label>	"SH-4 cell"	
<http://purl.obolibrary.org/obo/CLO_0006221>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF106/90 cell"	
<http://purl.obolibrary.org/obo/CLO_0006045>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF091/76 cell"	
<http://purl.obolibrary.org/obo/CLO_0003260>	<http://www.w3.org/2000/01/rdf-schema#label>	"FIB-DUP14 cell"	
<http://purl.obolibrary.org/obo/CLO_0007705>	<http://www.w3.org/2000/01/rdf-schema#label>	"MGP96Na cell"	
<http://purl.obolibrary.org/obo/CLO_0000443>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human umbilical cord-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0004920>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF026/84 cell"	
<http://purl.obolibrary.org/obo/CLO_0003084>	<http://www.w3.org/2000/01/rdf-schema#label>	"FeT-J cell"	
<http://purl.obolibrary.org/obo/CLO_0037443>	<http://www.w3.org/2000/01/rdf-schema#label>	"GM05400 cell"	
<http://purl.obolibrary.org/obo/CLO_0007529>	<http://www.w3.org/2000/01/rdf-schema#label>	"MALME-3M cell"	
<http://purl.obolibrary.org/obo/CLO_0004744>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF018/83 cell"	
<http://purl.obolibrary.org/obo/CLO_0004568>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF009/99 cell"	
<http://purl.obolibrary.org/obo/CLO_0001783>	<http://www.w3.org/2000/01/rdf-schema#label>	"B104 cell"	
<http://purl.obolibrary.org/obo/CLO_0000189>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal organism part-derived keratinocyte cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0003311>	<http://www.w3.org/2000/01/rdf-schema#label>	"FIB-PROL2 cell"	
<http://purl.obolibrary.org/obo/CLO_0003135>	<http://www.w3.org/2000/01/rdf-schema#label>	"FH 149 cell"	
<http://purl.obolibrary.org/obo/CLO_0004619>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF012/83 cell"	
<http://purl.obolibrary.org/obo/CLO_0001834>	<http://www.w3.org/2000/01/rdf-schema#label>	"B85 cell"	
<http://purl.obolibrary.org/obo/CLO_0001658>	<http://www.w3.org/2000/01/rdf-schema#label>	"ACT IV cell"	
<http://purl.obolibrary.org/obo/CLO_0009772>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal rhesus macaque prepuce of penis-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000296>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal prepuce of penis-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0001709>	<http://www.w3.org/2000/01/rdf-schema#label>	"AM85 cell"	
<http://purl.obolibrary.org/obo/CLO_0009596>	<http://www.w3.org/2000/01/rdf-schema#label>	"WI-38 KTr cell"	
<http://purl.obolibrary.org/obo/CLO_0050955>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0036 cell"	
<http://purl.obolibrary.org/obo/CLO_0008163>	<http://www.w3.org/2000/01/rdf-schema#label>	"NG115-401L cell"	
<http://purl.obolibrary.org/obo/CLO_0050779>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0569 cell"	
<http://purl.obolibrary.org/obo/CLO_0009823>	<http://www.w3.org/2000/01/rdf-schema#label>	"microbial survival inside cell line cell"@en	
<http://purl.obolibrary.org/obo/CLO_0000821>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal red-crowned mangabey skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0037529>	<http://www.w3.org/2000/01/rdf-schema#label>	"CS52iALS-C9n6 cell"	
<http://purl.obolibrary.org/obo/CLO_0009647>	<http://www.w3.org/2000/01/rdf-schema#label>	"XC-clone cell"	
<http://purl.obolibrary.org/obo/CLO_0006862>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-765 cell"	
<http://purl.obolibrary.org/obo/CLO_0006686>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGV010/85 cell"	
<http://purl.obolibrary.org/obo/CLO_0008214>	<http://www.w3.org/2000/01/rdf-schema#label>	"NV96 cell"	
<http://purl.obolibrary.org/obo/CLO_0008038>	<http://www.w3.org/2000/01/rdf-schema#label>	"NCI-H2009 cell"	
<http://purl.obolibrary.org/obo/CLO_0005253>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF041/96 cell"	
<http://purl.obolibrary.org/obo/CLO_0006913>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-939 cell"	
<http://purl.obolibrary.org/obo/CLO_0005077>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF033/95 cell"	
<http://purl.obolibrary.org/obo/CLO_0002292>	<http://www.w3.org/2000/01/rdf-schema#label>	"CCD-1127Sk cell"	
<http://purl.obolibrary.org/obo/CLO_0006737>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-1106 cell"	
<http://purl.obolibrary.org/obo/CLO_0000788>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal vervet monkey skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0003952>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 409.We cell"	
<http://purl.obolibrary.org/obo/CLO_0000541>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human multi-cellular organism-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0003776>	<http://www.w3.org/2000/01/rdf-schema#label>	"HL60 15-12 cell"	
<http://purl.obolibrary.org/obo/CLO_0000991>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal turnip moth cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0005304>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF044/79 cell"	
<http://purl.obolibrary.org/obo/CLO_0005128>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF036/75 cell"	
<http://purl.obolibrary.org/obo/CLO_0002343>	<http://www.w3.org/2000/01/rdf-schema#label>	"CDM96 cell"	
<http://purl.obolibrary.org/obo/CLO_0002167>	<http://www.w3.org/2000/01/rdf-schema#label>	"CA3-F4 cell"	
<http://purl.obolibrary.org/obo/CLO_0003827>	<http://www.w3.org/2000/01/rdf-schema#label>	"HR/+ G.Sp cell"	
<http://purl.obolibrary.org/obo/CLO_0000866>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal Geoffroy's marmoset skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002218>	<http://www.w3.org/2000/01/rdf-schema#label>	"CC20 cell"	
<http://purl.obolibrary.org/obo/CLO_0051464>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1624 cell"	
<http://purl.obolibrary.org/obo/CLO_0008980>	<http://www.w3.org/2000/01/rdf-schema#label>	"SE95IL2 cell"	
<http://purl.obolibrary.org/obo/CLO_0051288>	<http://www.w3.org/2000/01/rdf-schema#label>	"HEV0207 cell"	
<http://purl.obolibrary.org/obo/CLO_0000917>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal pig testis-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000210>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal multi-cellular organism-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050031>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0469 cell"	
<http://purl.obolibrary.org/obo/CLO_0007371>	<http://www.w3.org/2000/01/rdf-schema#label>	"LNZTA3WT4 cell"	
<http://purl.obolibrary.org/obo/CLO_0051515>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1868 cell"	
<http://purl.obolibrary.org/obo/CLO_0007195>	<http://www.w3.org/2000/01/rdf-schema#label>	"L5178Y cell"	
